WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
3247,DCP-2 - DEC-3 BRINE LEAVING TEMP. SENSOR READING NOT ACCURATE,I&C,"27/10/17 - DCP-2 - DEC-3 BRINE LEAVING TEMPERATURE SENSOR (TE-3300C-2) READING NOT ACCURATE. NEED TO VERIFY.

30/10/2017 - MMK & AZM - DCP-2 - REPLACED TEMPERATURE SENSOR WITH A NEW SENSOR. NORMALIZED AND HANDOVER TO OPERATIONS."
3248,DCP2 - DEC-4 (TE-1300D-1) CHILLED WATER INLET TEMP NEED TO VERIFY,I&C,"29/10/17 DEC-4 CHLLED WATER INLET TEMPERATURE (TE-1300D-1)READING TOO LOW NEED TO VERIFY.
         DUE TO LOW CHILLED WATER INLET TEMPERATURE COP OF DEC-4 ALSO LOW.
11/01/18 SENSOR WAS REPLACED WITH A NEW SENSOR BUT IT GIVES THE SAME READING.WE USED ANOTHER REFERENCE SENSOR TO VERIFY THAT BOTH READING IS THE SAME.OPERATION NEEDS TO VERIFY THE ISSUE."
3249,DEC-4 BRINE FLOW DIFFERENT400 TO 500M3/H BETWEEN FT 3300D AND 335F,I&C,"02/11/17...TEAM AZ........DEC-4 BRINE FLOW DIFFERENT 400 TO 500M3/H,BETWEEN FT 3300D AND FT 335F.
                          WE FOUND THAT DEC-4 ICE CHARGING TO IT-6 IN TIME BRINE OUT LET FLOW (FT 3300D)IS 3800M3/H AND 
                          IT-6 IN LET FLOW (FT 335F) IS 3400M3/H. BETWEEN 2FT DIFFERENT 400M3/H. 
                          INFORMED TO SL.

14/12/2017 - BALAJI/MOKTHER - WE CHECK ON SITE AND FOUND THAT SENSOR CARD FAULTY, THAN WE REPLACED A NEW CARD.
                              NOW BACK TO NORMAL OPERATION."
3250,DCP-1 ELECT BREAKER(CP12.2) TRIP CAUSING CT16-20 POSITION DISCREPANCY,I&C,"04/11/17 - ELECTRICAL BREAKER(CP12.2) FROM LCP C2 TRIPPED TWICE CAUSING COOLING TOWERS GROUP 2(CT16 - CT20) TO HAVE POSITION DISCRIPENCY ERROR DURING OPERATION

06/11/2017- WE UNABLE TO FIND ANY THINGS .WE USE SILICONE TO RE SEAL THE SOLINOID COIL."
3251,DCP-1 CT#4 CW INLET V/V ( XV250D-1) POS INDICATOR ERROR ALARM APPEAR,I&C,"07/11/2017-- TEAM YBY-- DCP-1 GROUP 1 CT#4 CW INLET V/V ( XV250D-1) POS INDICATOR ERROR ALARM APPEAR WHILE OPENING V/V. FOUND THAT V/V IS NOT FULLY OPEN AT ONSITE.

07/11/2017 - I&C - DCP-1 - CHECKED AND FOUND THAT THE INLET VALVE GEARBOX IS STUCK AND FAULTY DUE TO O-RING DAMAGE AND HARDENED GREASE.
                           SERVICED BOTH ACTUATOR AND GEARBOX.
                           STROKED A FEW TIMES WITH OPERATION ON SITE. NORMALIZED AND HANDOVER TO OPERATIONS (TEAM KIM LENG)."
3252,MBS HOTEL (R6)  HEX -4 TCV 1120D MALFUNCTION,I&C,"08/11/2017--YBY TEAM-- MBS HOTEL (R6)  HEX -4 TCV 1120D MALFUNCTION.THE VALVE OPEN/CLOSE FEEDBACK IS NOT FOLLOWING CONTROL COMMAND. 

14/11/2017 - INT STN MBS-HOTEL - TEAM I&C - CHECKED AND FOUND THAT VALVE IS OPERATIONAL AND FEEDBACK IS WORKING WELL.
                                            HOWEVER THE VALVE IS OPENING AND CLOSING TOO SLOW (ON AND OFF MOVEMENT)DUE TO IO CARD/PROGRAM ISSUE.
                                            STILL INVESTIGATING THE CAUSE. WILL NEED TO RESET THE CONTROLLER AND CLUSTER MODULE ON ANOTHER DAY.
                                            WILL DISCUSS WITH OPERATIONS."
3253,DCP-1 EDG UNABLE TO START DUE TO SERIAL LINK ERROR,ELEC,"08/11/2017 - TEAM TKL - DCP-1/ DURING EDG ROUTINE TEST (SUNDAY 05/11/17) WE ARE UNABLE TO START DUE TO SERIAL LINK ERROR

07/11/2017 - ELECT - DCP 1 - TOGETHER CHECKING WITH EN-SYST CONTRACTOR, SUSPECT THE EDG CONTROLLER CAUSED THE ""SERIAL LINK ERROR"" ALARM.
                             REQUESTED EN-SYST TO TAKE A TEMPORARY USED CONTROLLER TO REPLACE AND TEST, TO PROVE THAT THE EXISTING CONTROLLER IS FAULTY.
                             SINCE THE TYPE OF CONTROLLER IS OBSOLETED, WAITING REPLY FROM EN-SYST."
3254,DCP-1  XV-202 UNABLE TO BLOW DOWN,I&C,"08/11/2017 - TEAM TKL - DCP-1 XV-202 BLOW DOWN ON/OFF VALAVE UNABLE TO OPEN WHEN THE NALCO CONDUCTIVITY REACHED HIGH LIMIT

09/11/2017 MS- OPERATION HAS CHANGED THE LOGIC .VALVE NO ISSUSE."
3255,DCP-2 - EAF-DCS-B2M-02 TRIP UNABLE TO RESET / FAF-DCS-B2M-02 TRIP ALSO,FACILITY,"08/11/2017 - DCP-2 - EAF-DCS-B2M-02 TRIP. TRY TO RESET BUT MAIN INCOMING ALSO TRIP.
                     FAF-DCS-B2M-02 SHOWING TRIP AT DCIS ALSO BUT ONSITE NO TRIP

07/12/17 - DCP 2 - ELECT TEAM - CHECKED AND FOUND 3-PHASE FAN MOTOR ""U"" WINDING PHASE RESISTANCE READING HIGH COMPARED TO ""V"" & ""W"" WINDING PHASES.
                                RESISTANCE READING HIGH CAUSES RUNNING CURRENT HIGH AND WILL TRIP THE MCCB. WILL ARRANGE WITH CONTRACTOR (KULIHALA) TO CUT THE 
                                FIRE RATED DUCTING AND REMOVE THE FAN MOTOR FOR FURTHER VERIFICATION.


2/8/18 - DCP 2 - ELECT TEAM - SITE SURVEY AND PROCUREMENT DONE. CONTRACTOR (DAIDAN) TO WAIT FOR NEW MOTOR FAN ARRIVAL AND REPLACEMENT.

19~30/11/18 - DCP 2 - ELECT TEAM - SCAFFOLDING ERECTION FROM DAIDAN'S CONTRACTORS & REPLACEMENT WORKS FOR NEW EAF-DCS-B2M-02 FAN MOTOR STARTED.
                                   AFTER REPLACEMENT DONE, ROTATION TEST & TESTED AIR FLOW OK, CHECKED RUNNING CURRENTS WITHIN SPEC. 
                                   CHECKED BOTH VSD & STAR-DELTA FUNCTIONING OK, REMOTE & LOCALLY OPERATE OK. HANDOVER TO OPERATION."
3256,S1/OMB - CH 1 TO 4 PRESSURE GUAGES FAULTY.,I&C,"27/11/17 - S1/OMB - CH-1 CHWS,CHWR / CH-2 CWS,CWR / CH-3 CHWS,CHWR,CWS,CWR, / CH-4 CHWS,CHWR,CWS,CWR PRESSURE GUAGE FAULTY. 
           CWP-2 INLET PRESSURE GUAGE FAULTY , CWP-3 OUTLET GUAGE MISSING / CWP-4 OUTLET GUAGE FAULTY.
           CH-1 TO CH-4 CDS FLOW METER NO DISPLAY.
           PCHWS & PCHWR TEMP. TRANSMITTER NO DISPLAY. (TE-1110-1 & TE-101-2)"
3256,S1/OMB - CH 1 TO 4 PRESSURE GUAGES FAULTY.,I&C,ACCIDENTLY GENERATED 2 NUMBER.
3257,DCP2 L1 MAIN ENTRANCE DOOR CAN'T CLOSE PROPERLY,FACILITY,"30/11/2017 - REPORTED BY LIU YUE THAT DOOR CAN'T CLOSE PROPERLY AFTER OPENING MORE THAN 60DEG.

01/12/2017 - ADJUST DOOR SELF CLOSURE MECHANISM. TESTED ON SITE, DOOR BACK TO NORMAL AFTER ADJUSTMENT."
3258,DCP1 - PORTABLE PIPE LEAKING,MECH,"08/11/2017 - FOUND PORTABLE PIPE LEAKING NEAR AC-1-8. 
             CLOSED PIPE VALVE ABOVE MECHANICAL WORKSHOP.

09/11/2017 - MECHANICAL TEAM REPAIR THE ABOVE MENTION LEAKING PIPE. THERAFTER, TURN ON THE PIPE VALVE ABOVE MECHANICAL WORKSHOP."
3259,DCP1 - CT18 FAN DECK FLOORING CRACKED,FACILITY,"07/11/2017 - FOUND ON GROUP-2 COOLING TOWER CRACKED/BROKEN WALKWAY BESIDE CT18 FAN MOTOR.

08/11/2017 - DCP 1 - KEVIN - WILL ORDER THE RESIN AND REPAIR KIT TO FIX THE CRACKED FLOORING AREA.

19/01/2018 - DCP 1 - KEVIN/YEO H. L. - TO REPAIR THE FLOOR CRACKED WITH APPLY RESIN & FIBRE BLANKET. DONE."
3260,DCP1 - BC-2 COMP-2-2 CURRENT TOO LOW,MECH,"09/11/2017 DCP1- BC2 COMP-2-2 CURRENT TOO LOW DURING M4 MODE.(UNBALANCE MOTOR CURRENT)
10/11/2017 MAINT: THE CONTROLLERS WERE FOUND TO BE FAULTY, ORDER FOR THE NEW CONTROLLERS HAS BEEN ISSUED. DELIVERY SCHEDULE WILL BE INFORMED.  
10/01/2018 MAINT: THE FAULTY CONTROLLERS HAVE BEEN REPLACED. ALL THE CONTROLLERS ARE IN OPERATION DURING TEST RUN."
3261,P1 / WC 2 -2 ECONOMIZER  RF LEVEL AL02 ALARM & WC-4 / LIC 3-1/2  AL-02,MECH,"9/11/2017 TEAM AZ WC-2 No2 ECONOMIZER REFRIGERANT LEVEL CONTROLLER AL-02 ALARM.
9/11/2017 TEAM AZ WC-4 LIC3-1 & LIC3-2 CONTROLLER AL-02 ALARM.
10/11/2017 MAINT: FAULTY CONTROLLERS FOR WC-2 LIC 3-2, WC-4 LIC3-1 & LIC3-2 HAVE BEEN REPLACED. WC2 & WC4 HAVE BEEN NORMALIZED FOR OPERATION."
3261,P1 / WC 2 -2 ECONOMIZER  RF LEVEL AL02 ALARM & WC-4 / LIC 3-1/2  AL-02,MECH,"09/11/2017.....TEAM AZ...DCP 1/WC 2-2 ECONOMIZER REFRIGERANT LEVEL CONTROLLER AL-02 ALARM.
                         WC-4 LIC 3-1 AND LIC 3-2 CONTROLLER AL-02 ALARM."
3262,OMB - CT-1 (LT-250A-2) NEED TO VERIFY/CHECK,I&C,"14/11/2017 - OMB CT-1 (LT-250A-2)LEVEL TRANSMITTER NEED TO CHECK/VERIFY.
             BASIN WATER LEVEL HIGH BUT STILL SHOW LOW ALARM."
3263,"OMB CT 2-1,2-3,2-4,1-4,1-5,4-1,4-2 MOTOR AND STRUCTURE CORROSION",MECH,"09/11/2017....TEAM AZ.....MAUNG ZAW LATT FOUND OUT THE OMB CT- 1-1,1-4,1-5,2-1,2-3,2-4,4-1,4-2 MOTOR AND STRUCTURE CORROSION.

15/12/2017  MECHANICAL TEAM WILL ASK QUOTATION FROM TECO. THEREAFTER, SUBMIT TO MANAGEMENT FOR APPROVAL TO PURCHASE.

02/03/2018 - WAITING FOR SUPPLIER DELIVERY OF NEW MOTOR ETA MID MARCH 2018.

19/03/2018  TO 29/03/2018 - MECHANICAL TEAM PLAN WITH KURIHARA STAFF TO START  REPLACE THE COOLING TOWER MOTOR. 
                            HOWEVER,SAFETY ASK STOP WORK ON LIFTING OF MOTOR TO COOLING TOWERE FAN DECK ON 19/03/2018.

02/04/2018 - MECHANICAL ENGINEER WILL CALL FOR QUOTATION TO HAD THE ABOVE MENTION MOTOR REPLACED BY CONTRACTOR.
             AS SAFETY SECTION HAD MENTION TO CONSTRUCT SAFE LIFTING POINT TO ENABLE  CARRY THE MOTOR FROM FLOOR LEVEL TO FAN DECK.

25/4/2018 - Mr Phua advise to cancel the installation work (Estd budget = 22,200/-) and isolate CT cell to be done by Opn. 

14/8/2018 - MECHANICAL TEAM - ENGINEER IN CHARGE IS EVALUATE THE QUOTATION AND AWARD TO GDS FOR CT FAN MOTOR REPLACEMENT.

27/8/2018 & 28/8/2018  - MECHANICAL TEAM - CONTRACTOR GDS WILL START PREPARATION  WORK ON  CT MOTOR REPLACEMENT.

29/8/2018 TO 12/9/2018 - MECHANICAL TEAM - CONTRACTOR GDS WILL REPLACED ALL THE 8NOS CT FAN MOTOR AND PULLY AS MENTION ON THE QUOTATION.

12/09/2018 - MECHANICAL TEAM - TEST RUN THE REPLACEMENT MOTOR ON CT 2-1,2-3,2-4,1-1,1-4,1-5,4-1 & 4-2. UPON, COMPLETION HANDOVER BACK TO OPERATION."
3264,OMB CT 2-5 FLOAT SWITCH FAULTY,MECH,"09/11/2017.....TEAMAZ......MAUNG ZAW LATT FOUND OUT OMB CT 2-5 BASIN FLOATING SWITCH DROP OFF AND WATER CONTINUOUS TOP UP AND OVER FLOW.
                           NOW CLOSE ISOLATION SUPPLY VALVE TO CT 2-5 FLOATING SWITCH AND OFF BOTH NWMP POWER .

15/11/2017 - MECHANICAL TEAM : REPAIR THE EXISTING FLOAT BALL AND FIXED BACK ON THE ABOVE MENTION CT. THEREAFTER TEST AND HANDOVER TO OPERATION.
                               INFORM SEO ZAW LATT ON THE REPAIR FLOAT BALL."
3265,"P1 / WC 3  CONTROLLERS XIC1-1/2, LIC 2-1/2  ARE FAULTY",MECH,"9/11/2017 MAINT: WC-3 XIC1-1, XIC1-2, LIC2-1 & LIC3-1 CONTROLLERS WERE  FOUND DISPLAYING FAULT CODE AL-01, AL-02 ALARM.

9/11/2017 MAINT: THE 4 PCS OF FAULTY CONTROLLERS WERE REPLACED AND OPERATION IS NORMALISED."
3266,"ASQ 1 PODIUM / R12 HEX;6,7 BT VALVE AND INSULATION  CONDENSATION",OPERATIONS,"10/11/2017 - TEAM AZAM - ASQ 1 PODIUM / R12 HEX;6,7 BUTTERFLY VALVE AND INSULATION CONDENSATION DURING WEEKLY INSPECTION 

15/03/2018 - FERH cold insulation team removed old insulation and jacketing.
           - Problem rectify by adding PU into the insualtion box and putting up new jacketing.
           - Valve were box up with new jacketing and no condensation found."
3267,ASQ 2 PODIUM / R18 HEX-7 TEMP. SENSOR( R18-TE-1220G) FAULTY,I&C,"13/11/2017--YBY TEAM--ASQ 2 PODIUM / R18 HEX-7 TEMP. SENSOR( R18-TE-1220G) FAULTY.

07/11/2017- SHNAKAR - I CHECK THE WAS FAULTY WE DON'T HAVE A NEW SPARE SENSOR.BUT IREPLACED OLD SPARE IT IS OUT BY 0.35DEGREE C,NEED TO BE REPLACE NEW SENSO,WAITING FOR SPARE.

                      HAND OVER TO OPERATION."
3268,DCP 1  CT16  OUTLET VALVE ( XV-250P-2 ) FAULTY AND TRIP THE BREAKER,I&C,"14/11/2017-- YBY TEAM-- DCP 1  CT16  COOLING WATER OUTLET VALVE ( XV-250P-2 ) FAULTY AND TRIP THE BREAKER. AT PRESENT, WE CLOSE THE COOLING WATER OUTLET MANUAL VALVE AND ISOLATE THE POWER. THE EQUIPMENT UNDER OOS.

17/11/2017-MS- I CHECK AND REPLACED NEW CONNECTOR AND SOV COIL,AND RESET THE BREAKER.NOW UNDER MONITORING .

22/11/2017-MS - MONITOR UNTIL TODAY NOMORE TRIP."
3269,DCP-1 LCP-E2 & E3 LCD PANEL FAULTY,I&C,"13/01/2019 - DCP1 LCP-E2 LCD SCREEN BLACKOUT & LCP-E3 LCD SCREEN BLUR

14/01/2019 - DCP1 - AZL & AZM - CHECKED AND FOUND THAT LCP-E2 LCD PANEL IS OUT DUE TO FAULTY POWER SUPPLY UNIT.
                                WILL NEED TO REPLACE A NEW POWER SUPPLY UNIT.
                                CHECKED AND FOUND THAT LCP-E3 LCD PANEL SCREEN IS FAULTY.
                                WILL ORDER A NEW LCD SCREEN TO REPLACE.

15/01/2019 - DCP1 - AZL & AZM - REPLACED LCP-E2 LCD PANEL WITH A NEW POWER SUPPLY UNIT.
                                NORMALISED AND RESTORED ONTO THE LCP.

14/02/2019 - DCP-1 - LCP-E2  - TO MODIFY GRAPHIC AND LCD TOUCH SCREEN TO CHANGE. WILL TAKE TIME TO DO GRAPHIC MODIFICATION.

23/02/2019 - DCP1 - PLAN TO UPGRADE PROCESS PANEL FY20/21

18/09/2020 - DCP1 - SKR - REPLACE NEW POWER SUPPLY AND DOWNLOAD. JOB IS COMPLETED FOR LCP-E2 & E3"
3270,INATKE STATION - MBFC-T3 PRESSURE TRANSMITTER (PT-1110) NEED TO VERIFY,I&C,"13/11/2017 -  INTAKE STATION MBFC-T3 CHW SUPPLY PRESSURE TRANSMITTER (R19-PT-1110)NEED TO VERIFY DUE TO DIFFERENTIAL PRESSURE TOO HIGH.

14/11/2017 - INT STN MBFC-T3 - MS - CHECKED AND FOUND THAT PRESSURE TRANSMITTER IS OUT OF RANGE. RECALIBRATED AND NORMALIZED.
                                    HANDOVER TO OPERATIONS."
3271,P2 DCDP-3 PUMP FCV-230C UNABLE TO CLOSE 0%,I&C,"P2 FCV 2303C UNABLE TO CLOSE TO 0%. PUMP UNABLE TO STOP AND IT AFFECTS SHUTDOWN SEQUENCE.

09/12/17-MMK /MS WE ADJUST THE ZERO AND STROKE AND FEEDBACK CHECK DONE."
3272,DCP-2 - IT-3 PT-135C-1 READING SHOWING INACCURATE VALUE. NEED TO VERIFY,I&C,"16/11/17 - DCP-2 - IT-3 PT-135C-1 READING SHOWING INACCURATE VALUE AT DCIS. NEED TO VERIFY.

20/11/17 -MMK/MS -THAT PT-135C-1 WAS 0 DRIFTED ,WE SET ZERO NOW BACK TO NORMAL AND HAND OVER TO OPERATION."
3273,DCP-1/ CT G-2  FAN DECK & BASIN LEVEL LIGHTING BRAKER(L2Y) TRIPPED,FACILITY,"20/11/2017 -TEAM AZ - DCP-1 / GROUP-2 COOLING TOWER'S FAN DECK & BASIN LEVEL LIGHTING CIRCUIT BRAKER (L2Y) TRIPPED UNDER (DB-DC-4) . UNABLE TO RESET .

22/11/2017 - ELECTRICAL TEAM - DCP - 1 TROUBLESHOOT  ELECTRICAL LIGHT FITTINGS. FOUND 1 NO. LIGHT FITTING FAUTLY. 
                                       ISOLATE WIRING FOR AFFECTED FITTING. TEST RUN WITH OPERATIONS. ALL IN WORKING CONDITION. HAND OVER BACK TO OPERATION."
3274,DCP1 - DSP-3 VALVE JAM,MECH,"20/11/2017 - DCP1 DSP-3 VALVE JAM,UNABLE TO OPEN FULLY.(VALVE POSITION LOCALLY STACK @ 30%)
                  TRIED FEW TIMES TO RUN BUT THE VALVE JAM PUT OOS TEMPORARILY TO CHECK.

05/01/2018 - MECHANICAL TEAM WILL ARRANGE TO REMOVE THE PIPE INSULATION AND CHECK THE PCD ON THE ABOVE MENTION VALVE.
             THERAFTER CHECK THE SPARE VALVE AND HAD IT REPLACED IF THE PCD MATCH THE EXISTING VALVE.

10/01/2018 - MECHANICAL TEAM REMOVE PIPE INSULATION, ACTAUTOR AND BUTTERFLY VALVE. 

11/01/2018 - MECHANICAL TEAM REPLACED A NEW BUTTERFLY VALVE AND ACTAUTOR TAKEN FROM PLANT 1 SPARE PART.

12/01/2018 - MECHANICAL TEAM CONTINUE THE REPLACEMENT WORK.

15/01/2018 - MECHANICAL TEAM RECONNECTED ALL TUBING AND CONTROL WIRING. THEREAFTER STROKE THE VALVE FROM 0% TO 100% 
             HAND OVER DSP3 BACK TO OPERATION."
3275,DCP2 - WCDP-3 EARTH FAULT,ELEC,"20/11/2017 DCP2- WC-3 WCDP PUMP FAILED TO START DUE TO EARTH FAULT.
                 PUT OOS TEMPORARILY FOR FURTHER CHECKING.

20/11/2017 - DCP 2 - ELECT TEAM - TEST RUNNING WCDP-3 AND PROTECTION RELAY ""EARTH FAULT"" ACTIVATED. RACK-OUT 6.6KV SWITCHGEAR AND CHECKED FUNTION ON, NO SHORT CIRCUIT.
                                  OPEN CABLE BOX AND DISMANTLE CABLE, INSULATION TEST ON MOTOR WINDINGS AND CABLES TO GROUND, RESULT TESTED OK,
                                  SUSPECTED PROTECTION RELAY UNIT GOT ISSUE. INFORM CONTRACTOR (POWERSYS ENG) AND WILL DO AN INJECTION TEST FOR THE PROTECTION RELAY
                                  ON TOMORROW. 

21/11/2017 - DCP 2 - ELECT TEAM - INJECTION TEST BY POWERSYS CONTRACTOR TO THE MOTOR PROTECTION RELAY, FOUND ABNORMAL READINGS FOR I1, I2 & I3 AFTER FEW TIMES CHECKING
                                  AND COMPARE WITH SPARE UNIT. DECIDED TO REPLACE NEW SPAM 150C PROTECTION RELAY UNIT ON TOMORROW.

21/11/2017 - DCP 2 - ELECT TEAM - RECORD SETTINGS FROM DEFECTED PROTECTION RELAY(SPAM 150C), AND TRANSFER SETTINGS INTO NEW PROTECTION RELAY. AFTER REPLACING NEW UNIT, 
                                  PROCEED WITH INJECTION TEST AND TRIPPING TEST INTO NEW PROTECTION RELAY, ALL FUNCTIONING IN GOOD CONDITIONS. TEST RUNNING MOTOR WITH OPERATION TEAM
                                  AND MONITORING MOTOR RUNNING OK."
3276,OMB TX 4 POWER METER HAS NO DISPLAY,ELEC,"18/12/2017 - VETRI/JEFRI - CHECKED THAT THE POWER METER FAULTY.  THIS METER UNDER 22KV SWITCHGEAR PANEL. IT IS UNDER OMB BATTERY LIMIT.
                            NEED TO HIGHLIGHT TO OMB ABOUT THIS & REQUEST THEM TO CHANGE."
3277,DCP-2 FRESH AIR FAN ( FAF-DCS-B2M-03) MOTOR IS NOT RUNNING,FACILITY,"27/11/2017 -TEAM AZAM- DCP-2 FRESH AIR FAN ( FAF-DCS-B2M-03) MOTOR IS NOT RUNNING ON SITE BUT DCS SHOWED ON RUNNING POSITION

28/11/2017 - ELECT TEAM - CHECKED AT SITE AND FOUND CONTACTOR ACTIVATED BUT FAN MOTOR NOT RUNNING, SUSPECTED CAPACITOR ISSUE.
                          DUE TO LIMITED SPACE FOR ACCESSING THE INTERNAL MOTOR SURROUNDED BY FIRE RATED DUCTING, UNABLE TO FIND THE 
                          DEFECTED CAPACITOR. WILL ARRANGE WITH KURIHARA TO REMOVE THE DUCTING AND CHECK AGAIN.



8~11/01/2018 - ELECT TEAM - DCP 2 - FABRICATE, REPLACE AND INSTALL NEW FRESH AIR FAN WITH THE HELP FROM KULIHALA, TESTED FAN RUNNING OK & CHECKED AIR FLOW OK.
                                    ALSO INSTALL BACK FIRE RATED DUCTING COVER."
3278,MBFC-T3 MAIN HEADER & HEX RETURN LOCAL TEMP GAUGES ARE SHOWED NO DISPLAY,I&C,"27/11/2017 - TEAM AZAM - MBFC-T-3 MAIN HEADER AND HEX RETURN LOCAL TEMPERATURE GAUGES ARE SHOWED NO DISPLAY 

23/04/2018 - I&C TEAM -FOUND THAT LOCAL TEMPERATURE GAUGES BATTERY IS DEAD THEN WE REPLACED NEW BATTERY
                       NOW DISPLAY IS BACK."
3279,DCP-2 FRESH AIR FAN ( FAF-DCS-01-02 )MOTOR IS NOT RUNNING & RCCB TRIPPED,FACILITY,"27/11/2017 -TEAM AZAM- DCP-2 FRESH AIR FAN ( FAF-DCS-01-02) MOTOR IS NOT RUNNING ON SITE AND RCCB IS TRIPPED UNABLE TO RESET

28/11/2017 - ELECT TEAM - DCP 2 - CHECKED FAF-DCS-01-02 FAN SHORTED, WILL ARRANGE WITH CONTRACTOR (KURIHARA) TO CUT THE FIRE RATED DUCTING AND GET THE FAN MOTOR SPECIFICATIONS.
                                  THEN WILL LOOKING FOR QUOTATIONS.

8~11/01/2018 - ELECT TEAM - DCP 2 - FABRICATE, REPLACE AND INSTALL NEW FRESH AIR FAN WITH THE HELP FROM KULIHALA, TESTED FAN RUNNING OK & CHECKED AIR FLOW OK.
                                    ALSO INSTALL BACK FIRE RATED DUCTING COVER."
3280,S1/OMB - CH 1 TO 4 PRESSURE GAUGES FAULTY.,I&C,"27/11/17 - S1/OMB
CH -1 TO CH -4 CHSW & CHWR / CWS & CWR PRESSURE GUAGES FAULTY. 
CWP 2,3,4 PRESSURE GUAGE ALSO FAULTY.
CH-1 TO CH-4 CDW FLOW METER NO DISPLAY.
PCHWS & PCHWR TEMP.TRANSMITTER NO DISPLAY.

11/1/2018 - CHIAM - RECOMMENDED TO CLOSE THIS WO. AS OPERATOR ACTUALLY CAN VIEW THE READING VIA THE DIGITAL DISPLAY INSTALLED."
3280,S1/OMB - CH 1 TO 4 PRESSURE GAUGES FAULTY.,I&C,"27/11/17 - S1/OMB - CH-1 CHWS,CHWR / CH-2 CWS,CWR / CH-3 CHWS,CHWR,CWS,CWR / CH-4 CHWS,CHWR,CWS,CWR PRESSURE GUAGE FAULTY.
           CWP-2 INLET , CWP-4 OUTLET PRESSURE GUAGE FAULTY. CWP-3 OUTLET PRESSURE GUAGE MISSING.
           CH-1 TO CH-4 CDW FLOW METER NO DISPLAY.
           PCHWS,PCHWR TEMP.TRANSMITTER NO DISPLAY ( TE-1110-1 & TE-101-2 )"
3281,OMB CT-4 MANUAL DRAIN VALVE UNABLE TO FULLY CLOSE,MECH,"TEAM YBY - AFTER OMB COOLING TOWER BASIN CLEANING DISCOVERED THAT THE MANUAL DRAIN VALVE CANNOT BE CLOSED FULLY. SOME WATER PASSING INTO THE WASTE WATER BASIN.


15/12/2017 - MECHANICAL TEAM WILL ARRANGE TO DISMANTEL THE ABOVE MENTION DRAIN VALVE (TOZEN GATE VALVE 2"" X 150)(CRANE VALVE 2"" FOR TOP-UP). 
             TO CHECK IF NECESSARY WILL REPLACE THE FAULTY VALVE.

04/01/2018  - MECHANICAL TEAM REPLACED THE ABOVE MENTION DRAIN VALVE ( TOZEN BRONZE GATE VALVE 2""X CLASS 150 ).

05/01/2018 - MECHANICAL TEAM CONTIUNE THE ABOVE WORK.ONCE IS COMPLETE TOP-UP WATER FOR CT4 AND LEAK TEST AND HAND OVER TO OPERATION."
3282,OMB WC-1 COOLING WATER VALVE (XV_220_A1) UNABLE TO CLOSE,I&C,"TEAM YBY - AFTER WCDP-1 RECIRCULATION THE COOLING WATER VALVE XV_220_A_1 UNABLE TO CLOSE...

26/12/2017- MS-XV-220A-1 OPEN CLOSE MANUALLY AND STROKE CHECK FROM DCIS FEED BACK OK,OPENING CLOSING TAKE MORE TIME BECOUSE BUTTERFLY VALVE HAVE SOME ISSUSE,SO WE REQUEST TO OPERATION BEFORE RUN THE PUMP                          OPEN THE VALVE MANUALLY."
3283,DCP-2 CT SYSTEM - NEW WEATHER STATION INTERMITTENT ERROR,I&C,"TEAM YBY - UPDATE DCP-2 NEW WEATHER STATION AT COOLING TOWER STATION INTERMITTENT ERROR. I & C WILL FOLLOW UP.


11/1/2018 - CHIAM - CHECKED AND NORMALIZED BY POWER CYCLE THE SUPPLY. HOWEVER IT WILL RETURNED WITH THE SAME BEHAVIOUR AFTER FEW HOURS. WE WILL FOLLOW UP. NOT THAT THIS DO NOT AFFECT OPERATION BUT MAINLY FOR COMPARISON TO EXISTING WEATHER STATION"
3284,DCP-2  WCP-5 MOTOR DE ABNORMAL NOISE,MECH,"TEAM YBY- DURING ROUTINE CHECK DISCOVERED ABNORMAL NOISE COMING FROM WCP-5 MOTOR. REQUEST FOR RCM TEAM TO HAVE A LOOK ON THE SYSTEM. 

5/12/17 - MECHANICAL TEAM CHECKED AND FOUND HUMMING SOUNG COMING FROM MOTOR NDE BEARING.

11/12/17 - MECHANICAL TEAM DIS-COUPLE THE PUMP/MOTOR COUPLING AND TEST RUN MOTOR NO ABNORMAL NOISE FROM MOTOR BEARINGS.
           REQUEST TO CLEAN WCP5 STRAINER. THEREAFTER DO PUMP RUNNING CHECK.

15/12/17 - MECHANICAL TEAM WILL ARRANGE TO OPEN THE PUMP CASING  FOR CHECKING IF NECESSARY TO REPALCE THE PUMP BEARINGS.

18/12/17 - MECHANICAL TEAM ULTRO SONIC GREASING PDE READING 20/6 AND PNDE 30/5 REMOVE OLD GREASE AND PUMP IN NEW GREASE. UNDER MONITORING.

04/04/18 - MECHANICAL TEAM ULTRO SONIC GREASING PDE READING 20/6 AND PNDE 10/4 REMOVE OLD GREASE AND PUMP IN NEW GREASE . UNDER MONITORING.

21/05/18 - MECHANICAL TEAM ULTRO SONIC GREASING PDE READING 20/6 AND PNDE 20/7 ."
